的	dkuaoo	dk
话	wfueii	wf
合	wjeiae	wje
回	whiaee	whi
特	vxeiee	vx
代	djeaoo	dje
内	xhauoo	xh
信	hjoeee	hj
表	nveeie	nv
化	wjuaaa	wju
老	llaaaa	ll
给	rcuoei	rc
世	fviiea	fv
位	sjoeou	sjo
次	pzuauo	pz
度	dbeiie	db
门	ttaaaa	tt
任	sjueie	sju
常	zziouo	zz
先	hxuaaa	hx
海	woueaa	wo
通	vnaoia	vn
教	jyeieu	jy
儿	pfaaaa	pf
原	kcuiae	kc
东	deaiuo	de
声	flaieu	fla
提	vgiaee	vg
立	lneeee	ln
及	juaooo	ju
比	nsaaaa	ns
员	kiiauo	ki
解	jvauue	jv
水	fooooo	foo
名	thiaee	th
真	gliaee	gli
论	lfuoua	lf
处	zliooo	zl
走	cuoooo	cu
义	kouooo	ko
各	rliaee	rl
入	suoooo	su
几	jhaaaa	jh
口	cieeee	cie
认	sfuooo	sfu
条	vleiuo	vl
平	yeouei	ye
系	hcuaao	hc
气	qcaaaa	qc
题	vziaee	vz
活	woueii	wou
尔	psuaiu	ps
更	reiaee	re
别	nmiaea	nm
打	dgeiii	dg
女	xmeeee	xm
变	nfiiuo	nf
四	bhuaaa	bh
神	fhiaee	fh
总	cwouia	cw
何	wjeiae	wjei
电	dkaaaa	dka
数	fyouei	fy
安	ppauee	pp
少	fsuuuu	fs
报	ngaiao	nga
才	peiuuu	pei
结	jceiei	jce
反	mduuao	mdu
受	fjoaao	fjo
目	tyeeee	ty
太	vioooo	vio
量	lkeiae	lk
再	ceiaie	ce
感	rweuei	rw
建	jnaeee	jna
务	slauuu	sl
做	cjeiia	cje
接	jgoeou	jgo
必	nwoooo	nw
场	zlauuu	zla
件	jjueei	jj
计	jfeiii	jfe
管	ruooai	ru
期	qkuaee	qku
市	ffiaii	ffi
直	gliaee	glia
德	dteuia	dte
资	cfoeua	cf
命	tjeiae	tje
山	fqiiii	fq
金	jaeeee	ja
指	gguaia	gg
克	cliaeu	cli
许	hfueei	hf
统	vcoeao	vc
区	qhuooo	qh
保	njiaee	nj
至	gleaoe	gle
队	dxuooo	dxu
形	hgeeui	hg
社	fheiee	fhe
便	njeiae	nje
空	cseiee	cs
决	jzaeuo	jz
治	goaoia	goa
展	gqeiie	gq
马	tpeeee	tp
科	chooei	cho
司	biaeia	bi
五	seiaee	se
基	jkeiee	jk
眼	kyaeea	ky
书	faaioo	fa
非	mieeei	mi
则	cfiiii	cfi
听	viuuei	viu
白	nkeeee	nk
却	qxeiea	qx
界	jbuoui	jb
达	dneuoo	dne
光	rseuaa	rs
放	mgueuo	mgu
强	qhiaei	qhi
即	jlaiii	jl
像	hjuaia	hju
且	qiaeee	qi
难	xduioe	xd
权	qdaooo	qd
思	bboaoo	bb
王	sreeee	sr
象	hmaiae	hm
完	speeua	sp
设	ffuaao	ffu
式	fieeie	fi
色	bmaiea	bm
路	lquaoi	lq
记	jfaeaa	jfa
南	xliaou	xli
品	yiiaei	yi
住	gjoeei	gj
告	rxiaee	rx
类	lmeuoo	lm
求	qeioeu	qe
据	jgaeue	jga
程	zhiaee	zh
北	nieeua	ni
边	nnauoa	nn
死	bpuaaa	bp
张	ghueao	ghu
该	rfoeau	rfo
交	jfuouo	jfu
规	rgeeuo	rg
万	seauuu	sea
取	qxaooo	qxa
拉	lgoeou	lg
格	rduaoi	rd
望	sroeau	sro
觉	jsiaua	jsi
术	fdoooo	fd
领	lzuooa	lz
共	rreiie	rrei
确	qtuaua	qt
传	zjeeao	zj
师	fziuei	fz
观	rdiaua	rdi
清	qoeeie	qo
今	jjoaaa	jjo
切	qmeaau	qm
院	kxooae	kx
让	sfieee	sfi
识	ffiaeu	ffia
候	wjiaeu	wji
带	dzeiii	dz
导	dreioo	dr
争	gmaeei	gma
运	kneeao	kn
笑	huueuo	hu
飞	mauooo	ma
风	mxoooo	mx
步	ndiuuu	ndi
改	rreuoo	rreu
收	fyaiue	fya
根	rdaeea	rda
干	rviiii	rv
造	cnueie	cn
言	kfeeee	kfe
联	lxouee	lx
持	zgeiee	zg
组	cciaee	cc
每	tnueaa	tn
济	jooeuo	jo
车	zkiiii	zk
亲	qneiuo	qn
极	jduaoo	jdu
林	ldeiuo	ld
服	msaiao	ms
快	cwaeuo	cwa
办	nwoooo	nwo
议	kfouoo	kfo
往	stoeei	sto
元	kvuaaa	kvu
英	kviaeu	kvi
士	fleiee	fle
证	gfeiei	gf
近	jnuuei	jnu
失	fueeuo	fu
转	gkeeao	gk
夫	mveuoo	mv
令	ljooao	lj
准	gzuioe	gz
布	nzeuia	nz
始	fmaoia	fm
怎	cwueie	cwu
呢	xiaeuu	xi
存	pheuia	ph
未	sveiuo	sve
远	kneeua	kne
叫	jiaiii	ji
台	vliaee	vli
单	driaee	dri
影	kgiaee	kgi
具	jriaee	jri
罗	leuaoo	leu
字	cpaiee	cp
爱	pjoaeu	pjo
击	jveiai	jve
流	looeao	lo
备	nliaei	nl
兵	nruiei	nru
连	lneaei	lne
调	dfuaei	df
深	fooauo	fooa
商	ffouia	ffo
算	buiaee	bu
质	gfuuei	gfu
团	vheiuu	vhe
集	jeeiuo	je
百	neuiae	neu
需	hqeuia	hq
价	jjuoui	jju
花	wvuiua	wv
党	dfiouo	dfi
华	wluiua	wl
城	zleuaa	zle
石	fteeee	ft
级	jcuaoo	jcu
整	gdeiae	gde
府	mbuiei	mb
离	lfoaii	lfo
况	cziaeu	cz
亚	kleiio	kle
请	qfeeie	qf
技	jgeiao	jge
际	jxeeiu	jx
约	kcuaoo	kcu
示	fhoooo	fho
复	mlueia	ml
病	nbeiau	nb
息	hooaoo	hoo
究	jsuaaa	jsu
线	hceeau	hce
似	fjaouo	fja
官	rpiaea	rp
火	wyoooo	wy
断	dlouei	dlo
精	jmeeie	jm
满	toeiie	toe
支	glaooo	gla
视	fhiaua	fhi
消	hoioui	hoi
越	kueaau	ku
器	qiiaee	qii
容	ssuoia	ss
照	gyiaee	gyi
须	hgeuia	hge
九	juaaaa	jua
增	clouea	clo
研	kteeui	kt
写	hpeaee	hp
称	zhuaiu	zhu
企	qjieie	qji
八	nroooo	nro
功	riauuu	ria
吗	tiaaee	ti
包	ntaeaa	nt
片	ycaaaa	yc
史	fiuooo	fiu
委	shauoo	sha
乎	wuouei	wu
查	zdiaee	zd
轻	qkaoei	qka
易	kkuauu	kku
早	ckeiii	cke
曾	priaio	pr
除	zxuoee	zx
农	xpauau	xp
找	ggeauo	gge
装	gpoeie	gp
广	rboeuu	rb
显	hkiiou	hk
吧	niaiea	nia
阿	pxeiae	px
李	ldaiee	lda
标	ndeeiu	nde
谈	vfouuo	vf
吃	ziueaa	ziu
图	vhuaoo	vhu
念	xwuooa	xw
六	lfuooo	lfu
引	khiiii	khi
历	lcauuu	lc
首	freuia	fr
医	khueeu	khu
局	jqaiae	jq
突	vseuoo	vs
专	gveaoo	gve
费	mfaeau	mf
号	wieaaa	wie
尽	jqoooo	jqo
另	liauuu	li
周	gheiei	ghe
较	jkoeuo	jko
注	gooeei	goo
语	kfeiae	kfei
仅	jjaooo	jja
考	claaaa	cla
落	lvooeu	lv
青	qqeeee	qq
随	bxeuia	bx
选	hnueie	hn
列	lpiiii	lp
武	sdeeie	sd
红	wceiee	wc
响	hiuiai	hiu
虽	biiaei	bii
推	vguioe	vgu
势	fweieu	fw
参	pleuou	pl
希	hzuoeu	hz
古	rliaee	rli
众	gjuouo	gju
构	rduaao	rdu
房	mboeau	mbo
半	noueei	no
节	jvaiii	jva
土	vleeee	vle
投	vguaao	vgua
某	tveeiu	tv
案	pdooaa	pdo
黑	wloooo	wlo
维	scuioe	sc
革	rkiiii	rki
划	wiiiii	wii
敌	dyueii	dy
致	gyeaoe	gye
陈	zxeaiu	zxe
律	ltaeee	lt
足	cqoooo	cq
态	vweuoo	vw
护	wgoaeu	wg
七	qeaaaa	qea
兴	hseuoo	hse
派	youuua	yo
孩	whoeau	who
验	kpuoeo	kp
责	cfeeie	cfe
营	kvoaia	kvo
星	hkueei	hku
够	rtiaeu	rt
章	ggeiii	ggei
音	kgeeee	kge
跟	rqaeea	rq
志	gloaoo	glo
底	dbuaea	dbu
站	gnieia	gni
严	kceiio	kce
巴	naaaaa	na
例	ljeuao	lje
防	mxoeau	mxo
族	cgueue	cg
供	rjeiie	rje
效	hyoeuo	hy
续	hceiao	hcei
施	fgueai	fgu
留	lbuaoa	lb
讲	jfeeui	jfee
型	hleeui	hle
料	lmooei	lmo
终	gcuaoo	gc
答	duuoei	duu
紧	jciiao	jci
黄	wreiie	wr
绝	jcuaai	jcua
奇	qieiae	qie
察	zpuaoo	zp
母	tnoooo	tno
京	jfiaei	jfi
段	dhuiee	dhu
依	kjoeua	kjo
批	ygeaua	yg
群	qsaeeu	qs
项	hieuia	hie
故	ryeiia	ry
按	pgooaa	pg
河	woeiae	woe
米	tmoooo	tm
围	sheeai	she
江	joeiee	joe
织	gciaeu	gci
害	wpeeei	wp
斗	djiiii	dji
双	fdaooo	fda
境	jloeou	jlo
客	cpuaoi	cpu
纪	jcaeaa	jca
采	pjeiuo	pje
举	jseuoe	jse
杀	fduoei	fdu
攻	riueuo	riu
父	mwoooo	mw
苏	bvauoo	bva
密	tqooao	tq
低	djuaea	dju
朝	zseiia	zs
友	kdeuao	kde
诉	bfuuei	bf
止	gdeeee	gdee
愿	kweuui	kwe
细	hciaei	hci
千	qlueii	qlu
值	gjeiia	gje
仍	sjauuu	sja
男	xbauuu	xb
钱	qaeeau	qa
破	ytauia	yt
网	shuouo	shu
热	syeieu	sye
助	gwiaee	gw
倒	djeaoe	djea
育	kfaoia	kfa
属	fqaeia	fqa
坐	cluouo	clu
帝	dfouoa	dfo
限	hxaeea	hxa
船	zruaia	zr
脸	lsuoeo	lsu
职	gxiaeu	gx
速	bneiae	bn
刻	cmoeau	cm
乐	lsuaiu	lsua
否	mieuio	mie
刚	rmiauo	rm
威	sieuea	sie
毛	tuaaaa	tu
状	gseuoo	gse
率	lfaaoo	lfa
甚	fkaaaa	fka
独	dkiaei	dki
球	qreioe	qre
般	nruaao	nrua
普	yreiio	yr
怕	ywuiae	yw
弹	dhouia	dho
校	hdoeuo	hdo
苦	cveiia	cve
创	zmuoaa	zm
假	jjaeie	jjae
久	juaooo	juao
错	paeiie	pa
承	zaieee	za
印	kxuaea	kxu
晚	skuaia	sku
兰	lreeee	lre
试	ffeeie	ffe
股	rsuaao	rsu
拿	xjeiae	xje
脑	xsoeuo	xs
预	kzaoai	kz
谁	ffuioe	ffui
益	kreuoi	kre
阳	kxiaee	kxi
若	sveuia	sveu
哪	xiaeeu	xia
微	stiaie	sti
尼	xquaaa	xq
继	jcouei	jco
送	bnouee	bno
急	jwuaae	jwu
血	hheeee	hh
惊	jwoeia	jwo
伤	fjueau	fju
素	bceeie	bc
药	kvaaeu	kva
适	fnueii	fn
波	noauia	noa
夜	kfuiua	kfu
省	fyiuou	fyi
初	zpauuu	zpa
喜	hliaeo	hli
卫	sxeeee	sxe
源	koeuui	koe
食	fboooo	fb
险	hxuoeo	hxu
待	dteiee	dtei
述	fneiuo	fne
陆	lxeeia	lxe
习	hzaoee	hza
置	geeiia	ge
居	jqeiia	jqe
劳	lweiio	lwe
财	pfeiuu	pfe
环	wreuio	wre
排	ygieee	ygi
福	mheiae	mh
纳	xciauo	xc
欢	wduauo	wd
雷	lqiaei	lqi
警	jfeiiu	jfei
获	wvuaue	wvu
模	tdeiii	td
充	zfaoua	zf
负	mmiauo	mm
云	kvaooo	kvao
停	vjoeia	vjo
木	tdoooo	tdo
游	kooeau	koo
龙	lfoooo	lfoo
树	fdaoei	fdao
疑	kduaue	kdu
层	pqeeao	pq
冷	lzuooa	lzu
洲	goouoi	goou
冲	zziaei	zzi
射	fceioo	fce
略	lbuaoi	lbu
竟	jguaaa	jgu
范	mvooea	mvo
句	jtiaee	jti
室	fpeaoe	fpe
异	kreuii	kreu
激	jouiae	jou
汉	woaooo	woa
村	pdeioo	pde
哈	wiuoei	wiu
演	koooae	kooo
策	pueiai	pu
简	juoiai	juo
卡	coeioo	coe
罪	ceieee	cei
判	ymouee	ym
担	dgiaee	dgi
州	gouoio	gou
静	jquaae	jqu
退	vnaeea	vna
既	jleaua	jle
衣	kpoooo	kpo
您	xwuiua	xwu
宗	cpeeiu	cpe
积	jhiaeu	jhi
余	kjeeiu	kje
痛	vbaoia	vb
检	jduoeo	jduo
差	zseiee	zse
富	mpeiae	mp
灵	lrouuo	lro
协	hlauoo	hla
角	jviiii	jvi
占	goiaee	goi
配	ywaeaa	ywa
征	gteiei	gt
修	hjiuao	hji
皮	yvoooo	yv
挥	wgoaea	wgo
胜	fsueei	fsu
降	jxuaoe	jxu
阶	jxuoui	jxuo
审	fpiaee	fpi
沉	zooaua	zo
坚	jliiao	jli
善	fsouei	fso
妈	tmaaee	tma
刘	lfiiii	lfi
读	dfeiao	dfe
啊	piaiei	pi
超	zuauia	zu
免	tmiaeu	tmi
压	kceieo	kcei
银	kaaeea	kaa
买	tiaooe	tia
皇	wkeeie	wk
养	kreeeu	kree
伊	kjaeeu	kja
怀	wweuio	ww
执	gguaoo	ggu
副	mmeiae	mme
乱	luaaaa	lu
抗	cgoeua	cgo
犯	mkaaaa	mk
追	gnuiae	gnu
帮	nzeeeu	nze
宣	hpeiae	hpe
佛	mjaeau	mj
岁	bquaoo	bq
航	wroeua	wro
优	kjeuao	kjeu
怪	rwaoei	rwa
香	hhiaee	hhi
著	gveieu	gvei
田	vbeeee	vbe
铁	vaueeu	va
控	cgooau	cgoo
税	fhouia	fhou
左	cieuei	cieu
右	kieuia	kie
份	mjuoau	mju
穿	zseaiu	zsea
艺	kvaaaa	kvaa
背	nsieeu	nsi
阵	gxeaei	gxe
草	pviaee	pvi
脚	jseiea	jsei
概	rdaeea	rdae
恶	pweiio	pw
块	claeuo	clae
顿	dzeaia	dze
敢	ryaeii	rya
守	fpeioo	fpei
酒	joeiau	joei
岛	dquaoa	dq
央	kiiaeu	kii
托	vgueaa	vgue
户	wbuuuu	wb
烈	lyeuao	ly
洋	koouee	koou
哥	rieiae	rie
索	bloaaa	blo
胡	wseiia	ws
款	cbeiee	cb
靠	cxiaei	cx
评	yfeoue	yf
版	ncuuao	nc
宝	npeeie	npe
座	cbuouo	cbu
释	fuaoee	fua
景	jkoeia	jkoe
顾	rzeuaa	rz
弟	draeai	dra
登	dvaeou	dv
货	wfuiua	wfu
互	weaaee	wea
付	mjeioo	mje
伯	njuiae	nju
慢	twiaee	tw
欧	pbeuoa	pb
换	wguaia	wgu
闻	steiie	ste
危	smeuaa	sme
忙	twoeaa	two
核	wdoeau	wdo
暗	pkoeou	pk
姐	jmiaee	jmi
介	jjuiii	jjui
坏	wleuio	wle
讨	vfeioo	vfe
丽	leiaoi	leia
良	lloaee	llo
序	hbaoai	hb
升	fvueui	fvu
监	jsiiue	jsii
临	liiueo	lii
亮	lfiaeo	lfia
露	lqiaei	lqia
永	kouooo	kou
呼	wiuoue	wiuo
味	sieeiu	siee
野	ksaoai	ksa
架	jdauia	jda
域	kleiae	klei
沙	foiuou	foi
掉	dgieia	dgie
括	cgueii	cgu
舰	jriaua	jria
鱼	kzeeee	kze
杂	cduaei	cd
误	sfiaee	sfia
湾	sooeii	soo
吉	jliaee	jlia
减	jzeuei	jze
编	ncoaeu	nco
楚	zdeiuo	zde
肯	cdiaee	cdi
测	poiauo	po
败	nfueuo	nfu
屋	sqeaoe	sq
跑	yquaae	yq
梦	theiuo	the
散	byeiie	by
温	soiaee	soi
困	cheiuo	che
剑	jmuoeo	jmu
渐	joeaie	joea
封	mceiee	mc
救	jyeioe	jye
贵	rfiaei	rfi
枪	qduoaa	qdu
缺	qyaeuo	qy
楼	ldouei	ldo
县	hliaee	hlia
尚	fsiaia	fsi
毫	wfiaeo	wfi
移	khuaou	khua
娘	xmoaee	xmo
朋	ysuaee	ys
画	weiaei	wei
班	nrouee	nrou
智	gkueeu	gku
亦	kfuiuo	kfui
耳	pxeeee	pxe
恩	pwiaeu	pwi
短	daeiae	da
掌	ggiouo	ggi
恐	cweieu	cwe
遗	kniaei	kni
固	rheiia	rhe
席	hbeiie	hbe
松	bduoao	bd
秘	thoaou	tho
谢	hfuiae	hfu
鲁	lziaee	lzi
遇	kniaee	knia
康	cbaeei	cba
虑	lsoaoo	lso
幸	hlouee	hlo
均	jluaoe	jlu
销	haioui	ha
钟	gaiaei	gai
诗	ffeiee	ffei
藏	pveuae	pve
赶	rueeii	rue
剧	jmaeue	jma
票	yweeiu	ywe
损	bgiaei	bg
忽	wwuauu	wwu
巨	jhaeee	jha
炮	yyuaae	yy
旧	jkiiae	jki
端	dniaie	dni
探	vgoauo	vgo
湖	woeiia	woei
录	lrioeu	lri
叶	kieiii	kiei
春	zkeeeu	zke
乡	hauuuu	hau
附	mxuiei	mxu
吸	hiuaoo	hiua
予	kaoaii	kao
礼	lhaaaa	lha
港	roeiie	ro
雨	kqoooo	kq
呀	kieaiu	kiea
板	nduuao	ndu
庭	vbueie	vbu
妇	mmaeee	mma
归	rriuae	rri
睛	jyeeie	jyee
饭	mbuuao	mbu
额	pziaee	pzi
含	wjoaia	wjo
顺	fzuiie	fzu
输	fkuoei	fku
摇	kguoou	kgu
招	ggauia	gga
婚	wmuaea	wmu
脱	vsouia	vso
补	npiooo	npi
谓	sfiaei	sfiae
督	dyieei	dyi
毒	dneeie	dnee
油	koiaei	koi
疗	lbaiii	lba
旅	lgueua	lgu
泽	coaoee	coa
材	pdeiuu	pdei
灭	tyeouu	tye
逐	gneuau	gne
莫	tviaee	tvi
笔	nuueea	nu
亡	sfaaaa	sfa
鲜	hzouee	hzo
词	pfaeia	pfa
圣	fdeiee	fde
择	cgaoee	cga
寻	hreioo	hre
厂	zcuuuu	zc
睡	fyueie	fyu
博	nleiae	nle
勒	lkauuu	lka
烟	kyiaeu	kyi
授	fguoou	fguo
诺	xfeiie	xf
伦	ljuoua	lju
岸	pqeuee	pqe
奥	piuiao	piu
唐	vbaeei	vba
卖	tlaooe	tla
俄	pjueie	pju
炸	gyueie	gyu
载	ckeiee	ckei
洛	louaoi	lou
健	jjaeee	jjaee
堂	vliouo	vlio
旁	yfuoao	yfu
宫	rpiaei	rpi
喝	wiiaee	wiia
借	jjeiie	jje
君	jiaeeu	jia
禁	jheiuo	jhe
阴	kxuaee	kxua
园	kheeua	khe
谋	tfeiie	tf
宋	bpeiuo	bpe
避	nnaeui	nna
抓	gguuio	gguu
荣	sdeiio	sde
姑	rmeiia	rme
孙	bhiuoo	bhi
逃	vnuoea	vnu
牙	keaiuu	keai
束	feiaei	fei
跳	vquoea	vq
顶	dzeieu	dzei
玉	kroooo	kro
镇	gaeiia	gae
雪	hqaeee	hqa
午	sueeii	sue
练	lceaau	lce
爷	kwaiii	kwa
迫	ynuiae	yn
篇	yuoaeu	yu
肉	shuouo	shuo
嘴	ciieie	cii
馆	rbooai	rbo
遍	nnoaeu	nno
凡	mhoooo	mho
础	ztaiia	zt
洞	doiaei	doi
卷	jreeuo	jre
坦	vliaee	vlia
牛	xxiiii	xxi
宁	xpeiii	xpe
纸	gcuaea	gcu
诸	gfeieu	gfe
训	hfuiii	hfui
私	bhaooo	bha
庄	gbeiee	gb
祖	chiaee	chi
丝	beaaaa	be
翻	mzuoue	mz
暴	nkeiie	nke
森	bdeiuo	bde
塔	vleiiu	vlei
默	tleuoo	tle
握	sgaeue	sg
戏	hdeauo	hde
隐	kxuaae	kxuaa
熟	fyoeia	fyo
骨	rweeee	rwe
访	mfoeau	mfo
弱	shoeae	sho
蒙	tieiio	tie
歌	rbeiae	rbe
店	dbieia	dbi
鬼	rloooo	rlo
软	skuauo	skua
典	driaei	dria
欲	kbuouo	kbu
萨	bvaioe	bvai
伙	wjouuo	wjou
遭	cneiae	cne
盘	yriaii	yri
爸	nwaiea	nwa
扩	cgoeuu	cgoe
盖	rsiaii	rsi
弄	xreuii	xr
雄	heeuao	hee
稳	shuaae	shua
忘	swoeao	sw
亿	kjaaaa	kjaa
刺	pmeiai	pm
拥	kguaee	kgua
徒	vteiei	vt
姆	tmaaoe	tmaa
杨	kdauuu	kda
齐	qfuiii	qfu
赛	bfooae	bfo
趣	queiie	que
曲	qkiaei	qki
刀	dmuuuu	dmu
床	zbeiuo	zb
迎	knuaai	knu
冰	nziauo	nzi
虚	hsiiou	hsi
玩	sreeua	sre
析	hduuei	hdu
窗	zsuiau	zsu
醒	hwiaee	hwi
妻	qmeaee	qme
透	vnueiu	vnue
购	rfuaao	rfu
替	vkeeuo	vk
塞	blooae	bloo
努	xwauea	xwa
休	hjeiuo	hje
虎	wsuaaa	wsu
扬	kgauuu	kga
途	vnuoee	vnuo
侵	qjaeeo	qja
刑	hmeeui	hme
绿	lcaeei	lca
兄	hiuaaa	hiuaa
迅	hnaeio	hna
套	vieiee	vie
贸	tfuaoa	tfu
毕	nseiii	nse
唯	siuioe	siu
谷	riuouo	riuo
轮	lkuoua	lku
库	cbeaei	cbe
迹	jnoeui	jno
尤	kvoooo	kvoo
竞	jniaeu	jni
街	jteiee	jte
促	pjiaei	pji
延	knuiea	knui
震	gqeuee	gqe
弃	qfaoeu	qfa
甲	jkiiii	jkii
伟	sjeeai	sje
麻	tboooo	tb
川	zuiiii	zui
申	fkiiii	fki
缓	wcuoou	wcu
潜	qoeeuo	qoe
闪	ftuooo	ftu
售	feiaee	feia
灯	dyeiii	dye
针	gaeiii	gaei
哲	gieieu	gie
络	lcuaoi	lcu
抵	dguaea	dgu
朱	gueeiu	gue
埃	plaoue	pla
抱	nguaae	ngu
鼓	rliaeo	rlia
植	gdeiia	gdei
纯	zceaia	zce
夏	hleuia	hleu
忍	swauoo	swa
页	kzoooo	kzo
杰	jdoooo	jdo
筑	gueieu	guei
折	gguuei	gguue
郑	gxouee	gxo
贝	nfoooo	nfo
尊	ccouei	cco
吴	sieeuo	sieeu
秀	hhauuu	hha
混	woiaee	woi
臣	zhiaei	zhi
雅	keeaiu	kee
振	ggeuee	ggeu
染	sdooeu	sdo
盛	fseuaa	fse
怒	xwauea	xwau
舞	sueeii	suee
圆	khiaei	khia
搞	rgoeia	rgo
狂	ckeeie	ckee
措	pgeiie	pge
姓	hmueei	hmu
残	ppeeau	ppe
秋	qhouuo	qho
培	yloeou	yl
迷	tnouei	tnou
诚	zfeuaa	zfe
宽	cpeiii	cpei
宇	kpeeii	kpe
猛	tkaiei	tka
摆	ngiaii	ngi
梅	tdueaa	tdu
毁	whuiea	whu
伸	fjiaee	fji
摩	tgoeue	tg
盟	tsiaee	tsi
末	tveiuo	tve
乃	xauuuu	xa
悲	nwieee	nwi
拍	yguiae	ygu
丁	deiiii	dei
赵	guuooo	guu
硬	kteiae	kte
麦	tceeie	tc
蒋	jvoeiu	jvo
操	pgiaei	pgi
耶	kxaiii	kxa
阻	cxiaee	cxi
订	dfeiii	dfei
彩	pguoou	pgu
抽	zgiaei	zgi
赞	cfueie	cfu
魔	tloeue	tlo
纷	mcuoau	mcu
沿	kouaia	koua
喊	wieuei	wieu
违	sneeai	sn
妹	tmeeiu	tme
浪	looaee	loo
汇	woeaaa	woea
币	nzuiai	nzu
丰	mveeii	mve
蓝	lviiue	lvi
殊	fpueei	fpu
献	hkeiia	hke
桌	goiaee	goia
啦	lieieo	lie
瓦	sroooo	sroo
莱	lveoue	lve
援	kguoou	kguo
译	kfaoee	kfao
夺	dieioo	die
汽	qoueea	qou
烧	fyeaue	fye
距	jqeaea	jqea
裁	ppeieo	ppei
偏	yjoaeu	yj
符	muuiei	mu
勇	kwaoia	kwao
触	zviaei	zvi
课	cfiaee	cfia
敬	jyeiiu	jyei
哭	ckiaei	cki
懂	dweiiu	dwe
墙	qleiou	qle
召	gmaeee	gmae
袭	hfoeua	hfo
罚	meoaii	me
侠	hjeoue	hjeo
厅	vceiii	vce
拜	ngeeee	nge
巧	qieaaa	qiea
侧	pjiauo	pjia
韩	wqeiia	wq
冒	tkiaee	tki
债	gjeeie	gjee
曼	tkiaii	tkia
融	seeiae	see
惯	rwaaie	rwaa
享	hfiaea	hfi
戴	dieiei	diei
童	vniaee	vni
犹	kkeuao	kke
乘	zueiie	zue
挂	rgeiee	rge
奖	jioeiu	jio
绍	fcauia	fca
